user_id,cash_inflow,avg_bank_balance,location_type,income_type,age,age_to_employment_ratio,housing_type,rent_amount,num_occupants,bill_payment_consistency,bnpl_used,education_level,grade_or_cgpa,loan_approved
U0001,33654,14088,Urban,Gig,35,0.29,Owned,0,5,Always,True,Graduate,8.1,1
U0002,11265,1829,Urban,Informal,31,0.32,Rented,14636,4,Always,True,12th,56.4,0
U0003,18322,1983,Semi-Urban,Gig,22,0.14,Rented,9949,2,Usually,False,12th,58.2,0
U0004,16420,5697,Rural,Gig,42,0.26,Owned,0,2,Sometimes,False,Diploma,63.1,0
U0005,45658,11868,Rural,Salaried,48,0.58,Owned,0,5,Always,True,Diploma,60.5,1
U0006,39118,13587,Urban,Salaried,23,0.04,Owned,0,4,Always,True,Postgraduate,8.38,1
U0007,34502,3633,Semi-Urban,Salaried,45,0.31,Rented,11433,2,Usually,False,Graduate,7.07,1
U0008,12612,2426,Urban,Gig,48,0.29,Owned,0,5,Always,True,Postgraduate,6.43,1
U0009,22159,2520,Urban,Informal,34,0.47,Rented,13147,2,Sometimes,True,Diploma,79.8,0
U0010,39457,10655,Urban,Salaried,24,0.08,PG/Hostel,3500,1,Usually,True,Graduate,9.39,1
U0011,26873,7521,Urban,Salaried,30,0.13,Owned,0,3,Sometimes,True,Graduate,8.55,1
U0012,16534,2238,Semi-Urban,Informal,43,0.63,Owned,0,2,Always,False,Diploma,93.3,0
U0013,44276,11311,Rural,Salaried,38,0.39,Rented,12268,2,Usually,True,Graduate,9.38,1
U0014,59099,18739,Rural,Salaried,49,0.31,Rented,3064,1,Always,True,Graduate,9.45,1
U0015,31847,8215,Semi-Urban,Gig,28,0.25,Rented,8258,3,Usually,False,12th,81.8,1
U0016,18986,7899,Semi-Urban,Informal,25,0.36,Owned,0,4,Always,True,12th,79.3,1
U0017,72251,32169,Semi-Urban,Salaried,28,0.14,Rented,6104,5,Always,False,Graduate,8.55,1
U0018,15965,7262,Rural,Informal,21,0.1,Owned,0,2,Usually,False,Graduate,9.4,1
U0019,47266,19110,Urban,Salaried,46,0.5,Owned,0,4,Always,False,Postgraduate,6.9,1
U0020,33322,10299,Semi-Urban,Gig,35,0.26,Owned,0,5,Usually,True,12th,54.9,1
U0021,25934,11885,Semi-Urban,Gig,52,0.06,Rented,4757,5,Usually,True,Graduate,6.87,1
U0022,76044,24025,Urban,Salaried,49,0.08,Owned,0,2,Rarely,False,12th,53.5,0
U0023,29914,11304,Semi-Urban,Salaried,48,0.04,Owned,0,3,Usually,True,Postgraduate,8.83,1
U0024,26312,3741,Urban,Gig,48,0.56,Rented,6627,4,Sometimes,True,12th,90.2,0
U0025,23047,9748,Urban,Informal,48,0.5,Owned,0,4,Usually,True,Graduate,9.17,1
U0026,50080,9573,Semi-Urban,Salaried,33,0.27,Owned,0,4,Sometimes,False,12th,50.3,0
U0027,41959,13159,Urban,Salaried,53,0.45,Rented,4998,3,Always,True,10th,64.5,1
